step,operator,backend,backend_label,confidence,reason,policy_version,ok,score,reward,signals_json,prompt_sha256,time
216,UNKNOWN,doubao,doubao,0.950,"1. Prior stats for UNKNOWN operator: doubao has highest mean score (-2341.07) with 0 fail counts, qwen excluded as its mean score (-5000.00) < -4500 per hard constraints; 2. n_chars=630 <1500 grants +",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772614626.706
216,UNKNOWN,doubao,doubao,0.950,"n_chars=630 <1500 grants doubao length-based bonus, code_density=0.16 <0.3 grants doubao density bonus, qwen is excluded due to prior mean score (-5000) below -4500, doubao has higher prior mean score",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772614627.881
218,UNKNOWN,doubao,doubao,0.950,Qwen is excluded due to prior mean score -5000.00 being below -4500 per hard constraints; n_chars=630 <1500 grants +200 score boost to doubao; code_density=0.16 <0.3 grants +180 score boost to doubao;,30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772614670.560
218,UNKNOWN,doubao,doubao,0.950,"Key signals: 1) Operator is UNKNOWN with no errors present; 2) n_chars=630 <1500, awarding doubao a +200 w_len bonus; 3) code_density=0.16 <0.3, awarding doubao a +180 w_density bonus; 4) Qwen is excl",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772614680.636
220,UNKNOWN,doubao,doubao,0.920,"Key signals: n_chars=630 <1500 grants doubao +200 w_len bonus, code_density=0.16 <0.3 grants +180 w_density bonus, doubao has highest prior mean score (-2321.39) for UNKNOWN operator, plus +150 w_cost",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772614712.599
220,UNKNOWN,doubao,doubao,0.950,Cited signals: 1) n_chars=630 <1500 grants w_len boost for doubao; 2) code_density=0.16 <0.3 grants w_density boost for doubao; 3) Prior stats show doubao has the highest mean score (-2315.51) for UNK,30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772614720.364
222,UNKNOWN,doubao,doubao,0.950,1. Operator is UNKNOWN with no operator-specific bias; 2. n_chars=630 <1500 grants +200 doubao bonus; 3. code_density=0.16 <0.3 grants +180 doubao bonus; 4. doubao has the highest prior mean score (-2,30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772614745.323
222,UNKNOWN,doubao,doubao,0.950,"Key signals: 1) n_chars=630 <1500 grants doubao +200 length weight, 2) code_density=0.16 <0.3 grants doubao +180 density weight, 3) doubao has higher prior mean score (-2304.6) than deepseek, 4) qwen ",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772614756.726
224,UNKNOWN,doubao,doubao,1.000,"Excluded qwen as its prior mean score (-5000) is below -4500 per hard constraints; n_chars=630 <1500 grants doubao weighted length bonus, code_density=0.16 <0.3 grants doubao weighted density bonus, a",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772614784.870
224,UNKNOWN,doubao,doubao,0.950,"Cited signals: 1) operator is UNKNOWN with equal base weighting across all backends, 2) n_chars=630 <1500 grants doubao +200 length bonus, 3) code_density=0.16 <0.3 grants doubao +180 density bonus, 4",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772614801.458
